PlayerID,PlayerName,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,TargetsPerSnapLast3,TargetsPerGameLast3,ReceptionsLast3,TotalTargetsLast3,TargetsPerSnap,TargetsPerGame,TotalReceptions,TotalTargets
21769,Clyde Edwards-Helaire,2,8,6,3,8,4,4,3,5,null,2,1,null,6,2,null,null,4.444444444444445,2,1,2,9.96309963099631,4.153846153846154,36,54
19296,Anthony Firkser,2,4,0,null,5,9,2,3,6,3,5,1,7,1,1,2,2,14.285714285714286,1.6666666666666667,4,5,15.229885057471265,3.3125,39,53
20931,Drew Sample,1,9,1,5,2,1,6,1,null,2,4,5,7,4,1,1,3,3.3783783783783785,1.6666666666666667,4,5,6.105990783410138,3.3125,40,53
21138,Scotty Miller,6,3,5,7,0,2,9,6,3,1,0,1,null,2,3,2,3,12.5,2.6666666666666665,5,8,12.045454545454545,3.3125,33,53
11611,Golden Tate,null,5,7,6,5,1,2,3,null,5,null,9,4,2,3,null,null,10,3,2,3,12.264150943396226,4.333333333333333,35,52
16640,John Brown,10,6,2,5,null,4,null,2,11,8,null,null,null,null,null,null,4,13.333333333333334,4,4,4,11.479028697571744,5.777777777777778,33,52
18089,Rashard Higgins,1,0,null,null,3,2,6,3,null,4,4,2,9,10,5,null,3,8.791208791208792,4,6,8,10.358565737051793,4,37,52
20933,Miles Sanders,null,7,8,4,4,2,null,null,null,5,5,3,1,5,2,6,null,6.349206349206349,4,5,8,8.637873754152825,4.333333333333333,28,52
18944,Kareem Hunt,6,2,3,0,4,3,4,3,null,4,1,2,3,7,3,5,1,9.89010989010989,3,7,9,9.306569343065693,3.1875,38,51
19897,Tre'Quan Smith,1,7,6,4,3,null,4,7,2,1,0,1,6,6,2,null,null,8.333333333333334,2,1,2,7.440476190476191,3.5714285714285716,34,50
20941,Devin Singletary,7,3,5,6,1,2,5,1,3,3,null,3,4,1,3,2,1,6.521739130434782,2,6,6,8.051529790660226,3.125,38,50
19903,Jordan Akins,2,7,3,3,null,null,null,null,4,1,6,2,3,6,6,4,2,16.438356164383563,4,10,12,12.098765432098766,3.769230769230769,37,49
20529,Cam Sims,0,1,0,2,0,1,1,null,4,5,2,0,9,2,8,9,5,10.42654028436019,7.333333333333333,13,22,7.668231611893583,3.0625,32,49
13227,Randall Cobb,3,6,4,5,6,4,10,null,3,5,2,null,null,null,null,null,null,null,null,0,0,13.008130081300813,4.8,38,48
16141,Willie Snead IV,4,2,2,2,3,2,null,7,4,7,7,null,null,5,1,2,null,5.454545454545454,1.5,2,3,8.97196261682243,3.6923076923076925,33,48
15965,Trey Burton,null,null,null,5,6,5,null,4,4,3,5,6,3,0,2,4,0,8.219178082191782,2,4,6,12.533333333333333,3.6153846153846154,28,47
18803,Leonard Fournette,1,5,2,null,0,null,7,6,6,3,4,3,null,null,5,3,2,10,3.3333333333333335,8,10,12.27154046997389,3.6153846153846154,36,47
19120,David Moore,3,3,1,4,3,null,3,3,6,3,2,3,2,5,4,1,1,8.333333333333334,2,4,6,9.751037344398341,2.9375,35,47
20768,Myles Gaskin,4,7,5,4,5,4,null,6,null,null,null,null,2,null,null,5,5,10.1010101010101,5,9,10,10.375275938189846,4.7,41,47
16510,Jerick McKinnon,5,1,4,8,4,3,0,4,4,3,null,3,0,0,2,4,1,21.21212121212121,2.3333333333333335,6,7,12.365591397849462,2.875,33,46
15100,Jordan Reed,2,8,6,null,null,null,null,null,2,6,null,6,4,5,5,2,null,13.461538461538462,3.5,2,7,18.62348178137652,4.6,26,46
16847,David Johnson,4,4,3,3,4,2,4,null,1,null,null,null,2,null,11,3,5,11.377245508982035,6.333333333333333,17,19,8.348457350272232,3.8333333333333335,33,46
19119,Chris Carson,6,3,3,4,7,null,2,null,null,null,null,2,6,5,3,3,2,7.2727272727272725,2.6666666666666665,7,8,11.41439205955335,3.8333333333333335,37,46
20145,Allen Lazard,4,5,8,null,null,null,null,null,null,null,4,6,4,3,6,2,4,9.6,4,9,12,9.787234042553191,4.6,33,46
19947,Chris Herndon,7,4,5,3,3,0,1,2,0,null,3,0,0,1,4,4,9,11.333333333333334,5.666666666666667,14,17,6.814814814814815,2.875,31,46
