PlayerID,PlayerName,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,TargetShareL3,TargetsPerGameLast3,ReceptionsLast3,TotalTargetsLast3,TargetShare,TargetsPerGame,TotalReceptions,TotalTargets
18858,Joe Mixon,4,2,1,2,1,6,0,5,5,null,0,4,1,2,1,6,8,null,12.389380530973451,7,13,14,8.88888888888889,3,42,48
21448,Jalen Guyton,5,2,1,2,3,5,null,2,2,1,2,3,4,3,2,null,2,9,8.59375,5.5,8,11,7.2948328267477205,3,31,48
13291,Julio Jones,6,8,4,null,null,5,4,null,4,null,null,null,null,6,1,1,null,9,12.5,5,6,10,9.213051823416507,4.8,31,48
21721,Devin Duvernay,2,0,3,6,4,3,1,null,2,4,6,2,3,5,3,null,3,0,3.0303030303030303,1.5,2,3,7.9391891891891895,2.9375,33,47
18089,Rashard Higgins,0,2,2,7,5,3,2,4,0,1,5,null,null,0,5,6,5,null,11.458333333333334,5.5,6,11,9.418837675350701,3.1333333333333333,24,47
20912,Tony Pollard,4,3,1,0,4,3,null,1,2,7,2,4,4,null,3,3,5,null,7.547169811320755,4,5,8,7.232704402515723,3.066666666666667,39,46
21970,James Robinson,6,3,6,2,1,4,null,2,null,5,3,4,4,0,6,0,null,null,0,null,0,0,7.890222984562607,3.2857142857142856,31,46
18900,Mo Alie-Cox,2,2,2,5,4,3,3,4,1,2,1,2,1,null,1,4,5,3,14.814814814814815,4,7,12,8.982035928143713,2.6470588235294117,24,45
18990,Jonnu Smith,5,5,6,5,2,2,5,2,2,null,2,4,1,null,3,0,1,0,1.0638297872340425,0.3333333333333333,1,1,8.587786259541986,2.8125,28,45
17970,Devontae Booker,1,1,null,1,4,4,3,6,3,null,1,1,4,5,2,4,3,2,10.975609756097562,3,8,9,8.02139037433155,2.8125,40,45
20884,Foster Moreau,0,3,2,0,0,1,6,null,0,0,2,5,3,6,9,4,1,2,7.777777777777778,2.3333333333333335,7,7,7.296849087893864,2.588235294117647,30,44
